file_name,dataset,model_type,seed,epsilon,verifier,property,result
MNIST_0.006_7730.out,MNIST,prune_0.85,80,0.006,abc,30,1
MNIST_0.007_1010.out,MNIST,prune_0.2,10,0.007,abc,10,1
MNIST_0.007_97.out,MNIST,baseline,10,0.007,abc,97,1
MNIST_0.007_8950.out,MNIST,prune_0.9,100,0.007,abc,50,1
MNIST_0.008_4921.out,MNIST,prune_0.7,100,0.008,abc,21,0
MNIST_0.007_4721.out,MNIST,prune_0.7,80,0.007,abc,21,0
MNIST_0.006_3096.out,MNIST,prune_0.6,10,0.006,abc,96,1
MNIST_0.007_3747.out,MNIST,prune_0.6,80,0.007,abc,47,1
MNIST_0.008_7441.out,MNIST,prune_0.85,50,0.008,abc,41,0
MNIST_0.007_6393.out,MNIST,prune_0.8,40,0.007,abc,93,1
MNIST_0.008_6783.out,MNIST,prune_0.8,80,0.008,abc,83,0
MNIST_0.007_6930.out,MNIST,prune_0.8,100,0.007,abc,30,1
MNIST_0.007_6823.out,MNIST,prune_0.8,90,0.007,abc,23,0
MNIST_0.007_725.out,MNIST,baseline,80,0.007,abc,25,1
MNIST_0.008_8252.out,MNIST,prune_0.9,30,0.008,abc,52,0
MNIST_0.007_4184.out,MNIST,prune_0.7,20,0.007,abc,84,1
MNIST_0.006_1557.out,MNIST,prune_0.2,60,0.006,abc,57,1
MNIST_0.007_389.out,MNIST,baseline,40,0.007,abc,89,0
MNIST_0.006_3412.out,MNIST,prune_0.6,50,0.006,abc,12,1
MNIST_0.008_5269.out,MNIST,prune_0.75,30,0.008,abc,69,0
MNIST_0.007_2014.out,MNIST,prune_0.4,10,0.007,abc,14,1
MNIST_0.006_8282.out,MNIST,prune_0.9,30,0.006,abc,82,1
MNIST_0.006_7250.out,MNIST,prune_0.85,30,0.006,abc,50,1
MNIST_0.007_985.out,MNIST,baseline,100,0.007,abc,85,1
MNIST_0.006_4827.out,MNIST,prune_0.7,90,0.006,abc,27,1
MNIST_0.008_6820.out,MNIST,prune_0.8,90,0.008,abc,20,0
MNIST_0.008_5722.out,MNIST,prune_0.75,80,0.008,abc,22,0
MNIST_0.008_8914.out,MNIST,prune_0.9,100,0.008,abc,14,0
MNIST_0.008_3559.out,MNIST,prune_0.6,60,0.008,abc,59,0
MNIST_0.006_2053.out,MNIST,prune_0.4,10,0.006,abc,53,1
MNIST_0.006_1306.out,MNIST,prune_0.2,40,0.006,abc,6,1
MNIST_0.008_2892.out,MNIST,prune_0.4,90,0.008,abc,92,0
MNIST_0.008_4017.out,MNIST,prune_0.7,10,0.008,abc,17,0
MNIST_0.008_5966.out,MNIST,prune_0.75,100,0.008,abc,66,0
MNIST_0.008_1691.out,MNIST,prune_0.2,70,0.008,abc,91,1
MNIST_0.007_1715.out,MNIST,prune_0.2,80,0.007,abc,15,1
MNIST_0.007_4127.out,MNIST,prune_0.7,20,0.007,abc,27,1
MNIST_0.008_821.out,MNIST,baseline,90,0.008,abc,21,0
MNIST_0.006_7526.out,MNIST,prune_0.85,60,0.006,abc,26,0
MNIST_0.008_4526.out,MNIST,prune_0.7,60,0.008,abc,26,0
MNIST_0.008_4965.out,MNIST,prune_0.7,100,0.008,abc,65,0
MNIST_0.007_1241.out,MNIST,prune_0.2,30,0.007,abc,41,1
MNIST_0.007_192.out,MNIST,baseline,20,0.007,abc,92,1
MNIST_0.008_2673.out,MNIST,prune_0.4,70,0.008,abc,73,0
MNIST_0.006_5702.out,MNIST,prune_0.75,80,0.006,abc,2,1
MNIST_0.007_8097.out,MNIST,prune_0.9,10,0.007,abc,97,0
MNIST_0.008_1193.out,MNIST,prune_0.2,20,0.008,abc,93,1
MNIST_0.007_7195.out,MNIST,prune_0.85,20,0.007,abc,95,0
MNIST_0.008_7906.out,MNIST,prune_0.85,100,0.008,abc,6,0
MNIST_0.006_1092.out,MNIST,prune_0.2,10,0.006,abc,92,1
MNIST_0.008_1928.out,MNIST,prune_0.2,100,0.008,abc,28,1
MNIST_0.006_2867.out,MNIST,prune_0.4,90,0.006,abc,67,1
MNIST_0.006_1421.out,MNIST,prune_0.2,50,0.006,abc,21,1
MNIST_0.007_2917.out,MNIST,prune_0.4,100,0.007,abc,17,1
MNIST_0.006_8621.out,MNIST,prune_0.9,70,0.006,abc,21,1
MNIST_0.008_1412.out,MNIST,prune_0.2,50,0.008,abc,12,1
MNIST_0.007_5718.out,MNIST,prune_0.75,80,0.007,abc,18,0
MNIST_0.008_1689.out,MNIST,prune_0.2,70,0.008,abc,89,0
MNIST_0.007_7798.out,MNIST,prune_0.85,80,0.007,abc,98,0
MNIST_0.006_3446.out,MNIST,prune_0.6,50,0.006,abc,46,1
MNIST_0.008_4972.out,MNIST,prune_0.7,100,0.008,abc,72,0
MNIST_0.007_7544.out,MNIST,prune_0.85,60,0.007,abc,44,1
MNIST_0.007_4509.out,MNIST,prune_0.7,60,0.007,abc,9,1
MNIST_0.006_7956.out,MNIST,prune_0.85,100,0.006,abc,56,1
MNIST_0.006_5433.out,MNIST,prune_0.75,50,0.006,abc,33,0
MNIST_0.006_6819.out,MNIST,prune_0.8,90,0.006,abc,19,1
MNIST_0.008_7594.out,MNIST,prune_0.85,60,0.008,abc,94,0
MNIST_0.006_1622.out,MNIST,prune_0.2,70,0.006,abc,22,1
MNIST_0.008_4589.out,MNIST,prune_0.7,60,0.008,abc,89,1
MNIST_0.006_1763.out,MNIST,prune_0.2,80,0.006,abc,63,1
MNIST_0.007_915.out,MNIST,baseline,100,0.007,abc,15,1
MNIST_0.008_3508.out,MNIST,prune_0.6,60,0.008,abc,8,0
MNIST_0.008_4408.out,MNIST,prune_0.7,50,0.008,abc,8,0
MNIST_0.008_7019.out,MNIST,prune_0.85,10,0.008,abc,19,0
MNIST_0.007_8698.out,MNIST,prune_0.9,70,0.007,abc,98,0
MNIST_0.006_826.out,MNIST,baseline,90,0.006,abc,26,1
MNIST_0.007_4096.out,MNIST,prune_0.7,10,0.007,abc,96,0
MNIST_0.006_6703.out,MNIST,prune_0.8,80,0.006,abc,3,1
MNIST_0.008_2419.out,MNIST,prune_0.4,50,0.008,abc,19,1
MNIST_0.007_2175.out,MNIST,prune_0.4,20,0.007,abc,75,1
MNIST_0.008_6556.out,MNIST,prune_0.8,60,0.008,abc,56,0
MNIST_0.008_3524.out,MNIST,prune_0.6,60,0.008,abc,24,1
MNIST_0.008_8368.out,MNIST,prune_0.9,40,0.008,abc,68,0
MNIST_0.006_7034.out,MNIST,prune_0.85,10,0.006,abc,34,1
MNIST_0.007_5514.out,MNIST,prune_0.75,60,0.007,abc,14,1
MNIST_0.006_5678.out,MNIST,prune_0.75,70,0.006,abc,78,0
MNIST_0.007_1947.out,MNIST,prune_0.2,100,0.007,abc,47,1
MNIST_0.008_4945.out,MNIST,prune_0.7,100,0.008,abc,45,0
MNIST_0.006_8227.out,MNIST,prune_0.9,30,0.006,abc,27,1
MNIST_0.007_4818.out,MNIST,prune_0.7,90,0.007,abc,18,0
MNIST_0.007_2251.out,MNIST,prune_0.4,30,0.007,abc,51,1
MNIST_0.008_4863.out,MNIST,prune_0.7,90,0.008,abc,63,0
MNIST_0.008_8600.out,MNIST,prune_0.9,70,0.008,abc,0,0
MNIST_0.008_2222.out,MNIST,prune_0.4,30,0.008,abc,22,1
MNIST_0.006_5692.out,MNIST,prune_0.75,70,0.006,abc,92,1
MNIST_0.007_4595.out,MNIST,prune_0.7,60,0.007,abc,95,1
MNIST_0.006_3563.out,MNIST,prune_0.6,60,0.006,abc,63,1
MNIST_0.006_4742.out,MNIST,prune_0.7,80,0.006,abc,42,1
MNIST_0.008_2215.out,MNIST,prune_0.4,30,0.008,abc,15,1
MNIST_0.007_1631.out,MNIST,prune_0.2,70,0.007,abc,31,1
MNIST_0.008_7080.out,MNIST,prune_0.85,10,0.008,abc,80,0
MNIST_0.007_4986.out,MNIST,prune_0.7,100,0.007,abc,86,1
